Team,Category,Value
ARI,W,4
ARI,L,13
ARI,T,0
ATL,W,7
ATL,L,10
ATL,T,0
BAL,W,13
BAL,L,4
BAL,T,0
BUF,W,11
BUF,L,6
BUF,T,0
CAR,W,2
CAR,L,15
CAR,T,0
CHI,W,7
CHI,L,10
CHI,T,0
CIN,W,9
CIN,L,8
CIN,T,0
CLE,W,11
CLE,L,6
CLE,T,0
DAL,W,12
DAL,L,5
DAL,T,0
DEN,W,8
DEN,L,9
DEN,T,0
DET,W,12
DET,L,5
DET,T,0
GB,W,9
GB,L,8
GB,T,0
HOU,W,10
HOU,L,7
HOU,T,0
IND,W,9
IND,L,8
IND,T,0
JAX,W,9
JAX,L,8
JAX,T,0
KC,W,11
KC,L,6
KC,T,0
LV,W,8
LV,L,9
LV,T,0
LAC,W,5
LAC,L,12
LAC,T,0
LAR,W,10
LAR,L,7
LAR,T,0
MIA,W,11
MIA,L,6
MIA,T,0
MIN,W,7
MIN,L,10
MIN,T,0
NE,W,4
NE,L,13
NE,T,0
NO,W,9
NO,L,8
NO,T,0
NYG,W,6
NYG,L,11
NYG,T,0
NYJ,W,7
NYJ,L,10
NYJ,T,0
PHI,W,11
PHI,L,6
PHI,T,0
PIT,W,10
PIT,L,7
PIT,T,0
SF,W,12
SF,L,5
SF,T,0
SEA,W,9
SEA,L,8
SEA,T,0
TB,W,9
TB,L,8
TB,T,0
TEN,W,6
TEN,L,11
TEN,T,0
WAS,W,4
WAS,L,13
WAS,T,0
